COMMON_NAME,SPECIES_CODE
Egyptian Goose,egygoo
Ruddy Shelduck,rudshe
South African Shelduck,soashe1
Australian Shelduck,ausshe1
Paradise Shelduck,parshe1
Common Shelduck,comshe
Radjah Shelduck,radshe1
Crested Shelduck,creshe1
Spur-winged Goose,spwgoo1
Flying Steamer-Duck,flystd1
Flightless Steamer-Duck,flistd1
Falkland Steamer-Duck,falstd1
White-headed Steamer-Duck,whhstd1
Crested Duck,creduc1
Spectacled Duck,speduc2
Muscovy Duck,musduc
Green Pygmy-Goose,grnpyg1
Cotton Pygmy-Goose,copgoo1
African Pygmy-Goose,afrpyg1
Ringed Teal,rintea1
Wood Duck,wooduc
Mandarin Duck,manduc
Maned Duck,manduc1
Brazilian Teal,bratea1
Blue Duck,bluduc1
Torrent Duck,torduc1
Salvadori's Teal,saltea1
Baikal Teal,baitea
Garganey,gargan
Hottentot Teal,hottea1
Silver Teal,siltea1
Puna Teal,puntea1
Blue-winged Teal,buwtea
Cinnamon Teal,cintea
Red Shoveler,redsho1
Cape Shoveler,capsho1
Australian Shoveler,aussho1
Northern Shoveler,norsho
Gadwall,gadwal
Falcated Duck,falduc
Eurasian Wigeon,eurwig
American Wigeon,amewig
Chiloe Wigeon,chiwig1
African Black Duck,afbduc1
Yellow-billed Duck,yebduc1
Meller's Duck,melduc1
Pacific Black Duck,pabduc1
Laysan Duck,layduc
Hawaiian Duck,hawduc
Philippine Duck,phiduc1
Indian Spot-billed Duck,isbduc1
Eastern Spot-billed Duck,spbduc
Mallard,mallar
American Black Duck,ambduc
Mottled Duck,motduc
Cape Teal,captea1
White-cheeked Pintail,whcpin
Red-billed Duck,rebduc1
Northern Pintail,norpin
Eaton's Pintail,eatpin1
Yellow-billed Pintail,yebpin1
Green-winged Teal,gnwtea
Andean Teal,spetea3
Yellow-billed Teal,yebtea1
Andaman Teal,andtea1
Sunda Teal,suntea1
Gray Teal,gretea1
Chestnut Teal,chetea1
Bernier's Teal,bertea1
Auckland Islands Teal,auitea1
Campbell Islands Teal,caitea1
Brown Teal,brotea1
Pink-eared Duck,pieduc1
Marbled Teal,martea1
Pink-headed Duck,pihduc1
White-winged Duck,whwduc1
Red-crested Pochard,recpoc
Southern Pochard,soupoc1
Rosy-billed Pochard,robpoc1
Canvasback,canvas
Redhead,redhea
Common Pochard,compoc
Ring-necked Duck,rinduc
Ferruginous Duck,ferduc
Madagascar Pochard,madpoc1
Baer's Pochard,baepoc1
White-eyed Duck,wheduc1
Tufted Duck,tufduc
New Zealand Scaup,nezsca1
Greater Scaup,gresca
Lesser Scaup,lessca
Steller's Eider,steeid
Spectacled Eider,speeid
King Eider,kineid
Common Eider,comeid
Harlequin Duck,harduc
Labrador Duck,labduc
Surf Scoter,sursco
White-winged Scoter,whwsco
Common Scoter,blksco1
Black Scoter,blksco2
Long-tailed Duck,lotduc
Bufflehead,buffle
Common Goldeneye,comgol
Barrow's Goldeneye,bargol
Smew,smew
Hooded Merganser,hoomer
Auckland Islands Merganser,auimer1
Common Merganser,commer
Brazilian Merganser,bramer1
Red-breasted Merganser,rebmer
Scaly-sided Merganser,scsmer1
Black-headed Duck,blhduc1
Masked Duck,masduc
Ruddy Duck,rudduc
White-headed Duck,whhduc1
Maccoa Duck,macduc1
Lake Duck,lakduc1
Blue-billed Duck,blbduc1
Musk Duck,musduc1
Australian Brushturkey,ausbrt1
Wattled Brushturkey,watbrt1
Waigeo Brushturkey,brubrt1
Red-billed Brushturkey,rebbrt1
Yellow-legged Brushturkey,bkbbrt1
Red-legged Brushturkey,bncbrt1
Malleefowl,mallee1
Maleo,maleo1
Moluccan Scrubfowl,molscr1
Niuafoou Scrubfowl,niuscr1
Micronesian Scrubfowl,micscr1
Nicobar Scrubfowl,nicscr1
Tabon Scrubfowl,tabscr1
Sula Scrubfowl,sulscr1
Tanimbar Scrubfowl,tanscr1
Dusky Scrubfowl,dusscr2
Biak Scrubfowl,dusscr3
Forsten's Scrubfowl,forscr1
Melanesian Scrubfowl,melscr1
Vanuatu Scrubfowl,vanscr1
New Guinea Scrubfowl,negscr1
Orange-footed Scrubfowl,orfscr1
Plain Chachalaca,placha
Gray-headed Chachalaca,grhcha1
Chestnut-winged Chachalaca,chwcha1
Rufous-vented Chachalaca,ruvcha1
Rufous-headed Chachalaca,ruhcha1
Rufous-bellied Chachalaca,rubcha1
West Mexican Chachalaca,wemcha1
Chaco Chachalaca,chacha1
White-bellied Chachalaca,whbcha1
Colombian Chachalaca,colcha1
Speckled Chachalaca,specha3
East Brazilian Chachalaca,specha2
Scaled Chachalaca,specha4
Variable Chachalaca,varcha1
Buff-browed Chachalaca,bubcha1
Band-tailed Guan,batgua1
Bearded Guan,beagua1
Baudo Guan,baugua1
Andean Guan,andgua1
Marail Guan,margua1
Rusty-margined Guan,rumgua1
Red-faced Guan,refgua1
Spix's Guan,spigua1
Crested Guan,cregua1
Cauca Guan,caugua1
White-winged Guan,whwgua1
Dusky-legged Guan,dulgua1
White-crested Guan,whcgua1
Chestnut-bellied Guan,chbgua1
White-browed Guan,whbgua1
Trinidad Piping-Guan,trpgua1
Blue-throated Piping-Guan,btpgua1
Red-throated Piping-Guan,rtpgua1
Black-fronted Piping-Guan,bfpgua1
Wattled Guan,watgua1
Black Guan,blagua1
Sickle-winged Guan,siwgua1
Highland Guan,higgua1
Horned Guan,horgua1
Nocturnal Curassow,noccur1
Crestless Curassow,crecur2
Salvin's Curassow,salcur1
Razor-billed Curassow,rabcur2
Alagoas Curassow,alacur1
Helmeted Curassow,helcur1
Sira Curassow,horcur2
Horned Curassow,horcur3
Great Curassow,grecur1
Blue-billed Curassow,bubcur1
Yellow-knobbed Curassow,yekcur1
Black Curassow,blacur1
Wattled Curassow,watcur1
Bare-faced Curassow,bafcur1
Red-billed Curassow,rebcur1
Helmeted Guineafowl,helgui
White-breasted Guineafowl,whbgui1
Black Guineafowl,blagui1
Vulturine Guineafowl,vulgui1
Plumed Guineafowl,plugui1
Crested Guineafowl,cregui1
Stone Partridge,stopar1
Nahan's Francolin,nahfra2
Tawny-faced Quail,tafqua1
Mountain Quail,mouqua
Bearded Wood-Partridge,bewpar1
Long-tailed Wood-Partridge,ltwpar1
Buffy-crowned Wood-Partridge,bcwpar1
Banded Quail,banqua1
Northern Bobwhite,norbob
Black-throated Bobwhite,bltbob1
Crested Bobwhite,crebob1
Scaled Quail,scaqua
Elegant Quail,elequa
California Quail,calqua
Gambel's Quail,gamqua
Montezuma Quail,monqua
Ocellated Quail,ocequa1
Singing Quail,sinqua1
Marbled Wood-Quail,mawqua1
Spot-winged Wood-Quail,swwqua1
Black-eared Wood-Quail,bewqua1
Black-fronted Wood-Quail,bfwqua1
Rufous-fronted Wood-Quail,rfwqua1
Chestnut Wood-Quail,chwqua1
Dark-backed Wood-Quail,dbwqua1
Rufous-breasted Wood-Quail,rbwqua1
Tacarcuna Wood-Quail,tawqua1
Gorgeted Wood-Quail,gowqua1
Venezuelan Wood-Quail,venwoq1
Black-breasted Wood-Quail,bbwqua1
Stripe-faced Wood-Quail,sfwqua1
Starred Wood-Quail,stwqua1
Spotted Wood-Quail,spwqua1
Udzungwa Partridge,udzpar1
Ferruginous Partridge,ferpar2
Crested Partridge,crepar1
Black Partridge,blapar2
Hill Partridge,hilpar1
Sichuan Partridge,sicpar1
Chestnut-breasted Partridge,chbpar2
White-necklaced Partridge,whnpar2
Rufous-throated Partridge,rutpar1
White-cheeked Partridge,whcpar1
Taiwan Partridge,taipar1
Hainan Partridge,haipar1
Chestnut-bellied Partridge,chbpar1
Malaysian Partridge,gybpar3
Roll's Partridge,gybpar5
Sumatran Partridge,gybpar6
Gray-breasted Partridge,gybpar4
Bar-backed Partridge,babpar1
Orange-necked Partridge,ornpar1
Chestnut-headed Partridge,chhpar1
Red-breasted Partridge,rebpar5
Red-billed Partridge,rebpar3
Scaly-breasted Partridge,scbpar1
Chestnut-necklaced Partridge,chnpar1
Long-billed Partridge,lobpar1
Crested Argus,crearg1
Great Argus,grearg1
Indian Peafowl,compea
Green Peafowl,grepea1
Congo Peacock,conpea1
Crimson-headed Partridge,crhpar1
Red Spurfowl,redspu1
Painted Spurfowl,paispu1
Sri Lanka Spurfowl,ceyspu1
Palawan Peacock-Pheasant,palpep1
Malayan Peacock-Pheasant,mapphe1
Bornean Peacock-Pheasant,bopphe1
Germain's Peacock-Pheasant,gepphe1
Hainan Peacock-Pheasant,grypep3
Mountain Peacock-Pheasant,mopphe1
Bronze-tailed Peacock-Pheasant,btpphe1
Gray Peacock-Pheasant,grypep2
See-see Partridge,sespar1
Sand Partridge,sanpar1
Brown Quail,broqua1
Blue-breasted Quail,blbqua1
Blue Quail,bluqua1
Snow Mountain Quail,snmqua2
Madagascar Partridge,madpar2
Japanese Quail,japqua
Common Quail,comqua1
Harlequin Quail,harqua1
Rain Quail,raiqua1
Stubble Quail,stuqua1
New Zealand Quail,nezqua1
Rock Partridge,rocpar2
Chukar,chukar
Philby's Partridge,phipar1
Przevalski's Partridge,przpar1
Red-legged Partridge,relpar1
Arabian Partridge,arapar1
Barbary Partridge,barpar2
Caucasian Snowcock,causno1
Caspian Snowcock,cassno1
Altai Snowcock,altsno1
Tibetan Snowcock,tibsno1
Himalayan Snowcock,himsno
Jungle Bush-Quail,jubqua1
Rock Bush-Quail,robqua1
Painted Bush-Quail,pabqua1
Manipur Bush-Quail,mabqua1
Himalayan Quail,himqua1
Hartlaub's Francolin,harfra3
Handsome Francolin,hanfra2
Cameroon Francolin,camfra2
Chestnut-naped Francolin,chnfra2
Erckel's Francolin,ercfra
Djibouti Francolin,djifra1
Double-spurred Francolin,dosfra2
Heuglin's Francolin,heufra1
Ahanta Francolin,ahafra2
Gray-striped Francolin,gysfra1
Scaly Francolin,scafra2
Red-billed Francolin,rebfra1
Cape Francolin,capfra2
Natal Francolin,natfra2
Hildebrandt's Francolin,hilfra2
Jackson's Francolin,jacfra2
Swierstra's Francolin,swifra2
Clapperton's Francolin,clafra1
Harwood's Francolin,harfra4
Swainson's Francolin,swafra2
Yellow-necked Francolin,yenspu1
Gray-breasted Francolin,gybfra1
Red-necked Francolin,renfra1
Black Francolin,blkfra
Painted Francolin,paifra1
Chinese Francolin,chifra1
Gray Francolin,gryfra
Swamp Francolin,swafra1
Crested Francolin,crefra2
Mountain Bamboo-Partridge,mobpar1
Chinese Bamboo-Partridge,chbpar3
Taiwan Bamboo-Partridge,taibap1
Red Junglefowl,redjun
Gray Junglefowl,grejun2
Sri Lanka Junglefowl,ceyjun1
Green Junglefowl,grejun1
Coqui Francolin,coqfra2
White-throated Francolin,whtfra2
Schlegel's Francolin,schfra2
Latham's Francolin,forfra2
Red-winged Francolin,rewfra2
Ring-necked Francolin,rinfra2
Finsch's Francolin,finfra2
Orange River Francolin,orrfra2
Gray-winged Francolin,gywfra1
Moorland Francolin,moofra2
Shelley's Francolin,shefra2
Blood Pheasant,blophe1
Himalayan Monal,himmon1
Sclater's Monal,sclmon1
Chinese Monal,chimon1
Snow Partridge,snopar1
Verreaux's Partridge,verpar1
Szechenyi's Partridge,szepar1
Western Tragopan,westra1
Satyr Tragopan,sattra1
Blyth's Tragopan,blytra1
Temminck's Tragopan,temtra1
Cabot's Tragopan,cabtra1
Reeves's Pheasant,reephe1
Copper Pheasant,copphe1
Mikado Pheasant,mikphe1
Elliot's Pheasant,ellphe1
Hume's Pheasant,humphe1
Golden Pheasant,golphe
Lady Amherst's Pheasant,laaphe1
Ring-necked Pheasant,rinphe
White Eared-Pheasant,whephe1
Brown Eared-Pheasant,brephe1
Blue Eared-Pheasant,blephe1
Cheer Pheasant,chephe1
Silver Pheasant,silphe
Kalij Pheasant,kalphe
Siamese Fireback,siafir1
Bulwer's Pheasant,bulphe1
Edwards's Pheasant,edwphe1
Swinhoe's Pheasant,swiphe1
Salvadori's Pheasant,salphe1
Crestless Fireback,crefir2
Crested Fireback,crefir1
Gray Partridge,grypar
Daurian Partridge,daupar1
Tibetan Partridge,tibpar1
Koklass Pheasant,kokphe1
Black-billed Capercaillie,blbcap1
Western Capercaillie,wescap1
Black Grouse,blagro1
Caucasian Grouse,caugro1
Hazel Grouse,hazgro1
Severtzov's Grouse,sevgro1
Ruffed Grouse,rufgro
Greater Sage-Grouse,saggro
Gunnison Sage-Grouse,gusgro
Siberian Grouse,sibgro2
Spruce Grouse,sprgro
Willow Ptarmigan,wilpta
Rock Ptarmigan,rocpta1
White-tailed Ptarmigan,whtpta1
Dusky Grouse,dusgro
Sooty Grouse,soogro1
Sharp-tailed Grouse,shtgro
Greater Prairie-Chicken,grpchi
Lesser Prairie-Chicken,lepchi
Wild Turkey,wiltur
Ocellated Turkey,ocetur1
Red-throated Loon,retloo
Arctic Loon,arcloo
Pacific Loon,pacloo
Common Loon,comloo
Yellow-billed Loon,yebloo
White-tufted Grebe,whtgre3
Titicaca Grebe,titgre1
Alaotra Grebe,alagre1
Little Grebe,litgre1
Australasian Grebe,ausgre1
Madagascar Grebe,madgre1
Least Grebe,leagre
Pied-billed Grebe,pibgre
Atitlan Grebe,atigre1
Hoary-headed Grebe,hohgre1
New Zealand Grebe,nezgre1
Great Grebe,gregre1
Horned Grebe,horgre
Red-necked Grebe,rengre
Great Crested Grebe,grcgre1
Eared Grebe,eargre
Colombian Grebe,colgre1
Silvery Grebe,silgre1
Junin Grebe,jungre1
Hooded Grebe,hoogre1
Western Grebe,wesgre
Clark's Grebe,clagre
Chilean Flamingo,chifla1
American Flamingo,grefla2
Greater Flamingo,grefla3
Lesser Flamingo,lesfla1
Andean Flamingo,andfla2
James's Flamingo,jamfla1
King Penguin,kinpen1
Emperor Penguin,emppen1
Adelie Penguin,adepen1
Gentoo Penguin,genpen1
Chinstrap Penguin,chipen2
Yellow-eyed Penguin,yeepen1
Little Penguin,litpen1
African Penguin,jacpen1
Humboldt Penguin,humpen1
Galapagos Penguin,galpen1
Magellanic Penguin,magpen1
Fiordland Penguin,fiopen1
Erect-crested Penguin,bicpen1
Macaroni Penguin,macpen1
Royal Penguin,roypen1
Southern Rockhopper Penguin,rocpen1
Moseley's Rockhopper Penguin,rocpen4
Snares Penguin,snapen1
Yellow-nosed Albatross,yenalb
Gray-headed Albatross,gyhalb
Buller's Albatross,bulalb2
White-capped Albatross,whcalb1
Salvin's Albatross,salalb1
Chatham Albatross,shyalb2
Black-browed Albatross,bkbalb
Sooty Albatross,sooalb1
Light-mantled Albatross,limalb1
Royal Albatross,royalb1
Wandering Albatross,wanalb
Waved Albatross,wavalb
Laysan Albatross,layalb
Black-footed Albatross,bkfalb
Short-tailed Albatross,shtalb
Southern Giant-Petrel,angpet1
Northern Giant-Petrel,norgip1
Northern Fulmar,norful
Southern Fulmar,souful1
Antarctic Petrel,antpet1
Cape Petrel,cappet
Snow Petrel,snopet1
Kerguelen Petrel,kerpet2
Great-winged Petrel,grwpet3
Gray-faced Petrel,grwpet2
Kermadec Petrel,kerpet
Magenta Petrel,magpet1
Trindade Petrel,tripet1
Herald Petrel,herpet2
Murphy's Petrel,murpet
Providence Petrel,solpet1
Henderson Petrel,henpet1
Zino's Petrel,madpet
Fea's Petrel,feapet1
Soft-plumaged Petrel,soppet1
Barau's Petrel,barpet1
White-headed Petrel,whhpet1
Mottled Petrel,motpet
Bermuda Petrel,berpet
Black-capped Petrel,bkcpet
Juan Fernandez Petrel,jufpet
Atlantic Petrel,atlpet1
Galapagos Petrel,galpet
Hawaiian Petrel,hawpet1
White-necked Petrel,whnpet
Bonin Petrel,bonpet
Black-winged Petrel,bkwpet
Chatham Petrel,chapet1
Cook's Petrel,coopet
Masatierra Petrel,maspet3
Gould's Petrel,goupet1
Collared Petrel,colpet1
Stejneger's Petrel,stepet
Pycroft's Petrel,pycpet1
Phoenix Petrel,phopet1
Vanuatu Petrel,venpet1
Blue Petrel,blupet1
Fairy Prion,faipri1
Broad-billed Prion,brbpri1
Salvin's Prion,salpri1
Antarctic Prion,dovpri1
Slender-billed Prion,slbpri1
Fulmar Prion,fulpri1
Bulwer's Petrel,bulpet
Jouanin's Petrel,joupet
Fiji Petrel,fijpet1
Mascarene Petrel,maspet1
Tahiti Petrel,tahpet1
Beck's Petrel,becpet1
Gray Petrel,grapet
White-chinned Petrel,whcpet1
Spectacled Petrel,spepet1
Parkinson's Petrel,parpet1
Westland Petrel,wespet1
Streaked Shearwater,strshe
Cory's Shearwater,corshe
Cape Verde Shearwater,cavshe1
Pink-footed Shearwater,pifshe
Flesh-footed Shearwater,flfshe
Great Shearwater,greshe
Wedge-tailed Shearwater,wetshe
Buller's Shearwater,bulshe
Sooty Shearwater,sooshe
Short-tailed Shearwater,shtshe
Christmas Shearwater,chrshe
Galapagos Shearwater,audshe3
Manx Shearwater,manshe
Yelkouan Shearwater,levshe1
Balearic Shearwater,balshe1
Hutton's Shearwater,hutshe1
Townsend's Shearwater,towshe1
Newell's Shearwater,towshe2
Rapa Shearwater,towshe3
Bryan's Shearwater,bryshe1
Black-vented Shearwater,bkvshe
Fluttering Shearwater,flushe1
Little Shearwater,litshe
Barolo Shearwater,litshe1
Boyd's Shearwater,litshe2
Audubon's Shearwater,audshe
Tropical Shearwater,troshe1
Persian Shearwater,pershe1
Heinroth's Shearwater,heishe1
Peruvian Diving-Petrel,pedpet1
Common Diving-Petrel,codpet1
South Georgia Diving-Petrel,sgdpet1
Magellanic Diving-Petrel,madpet1
Wilson's Storm-Petrel,wispet
Pincoya Storm-Petrel,pumstp1
Elliot's Storm-Petrel,wvspet1
Gray-backed Storm-Petrel,gybstp1
White-faced Storm-Petrel,wfspet
European Storm-Petrel,bripet
White-bellied Storm-Petrel,wbspet1
New Zealand Storm-Petrel,nezstp1
Black-bellied Storm-Petrel,bbspet1
Polynesian Storm-Petrel,pospet1
Fork-tailed Storm-Petrel,ftspet
Ringed Storm-Petrel,rispet1
Leach's Storm-Petrel,lcspet
Townsend's Storm-Petrel,leastp5
Ainley's Storm-Petrel,leastp2
Swinhoe's Storm-Petrel,swspet
Ashy Storm-Petrel,asspet
Band-rumped Storm-Petrel,barpet
Monteiro's Storm-Petrel,monstp1
Cape Verde Storm-Petrel,cavstp1
Wedge-rumped Storm-Petrel,wrspet
Black Storm-Petrel,bkspet
Guadalupe Storm-Petrel,guspet
Markham's Storm-Petrel,maspet
Matsudaira's Storm-Petrel,maspet2
Tristram's Storm-Petrel,trspet
Least Storm-Petrel,lsspet
White-tailed Tropicbird,whttro
Red-billed Tropicbird,rebtro
Red-tailed Tropicbird,rettro
Asian Openbill,asiope1
African Openbill,afrope1
Black Stork,blasto1
Abdim's Stork,abdsto1
Woolly-necked Stork,wonsto1
Storm's Stork,stosto1
Maguari Stork,magsto1
White Stork,whisto1
Oriental Stork,oristo1
Black-necked Stork,blnsto1
Saddle-billed Stork,sabsto1
Jabiru,jabiru
Lesser Adjutant,lesadj1
Marabou Stork,marsto1
Greater Adjutant,greadj1
Wood Stork,woosto
Milky Stork,milsto1
Yellow-billed Stork,yebsto1
Painted Stork,paisto1
Lesser Frigatebird,lesfri
Ascension Frigatebird,asifri1
Magnificent Frigatebird,magfri
Christmas Island Frigatebird,chifri1
Great Frigatebird,grefri
Masked Booby,masboo
Nazca Booby,nazboo1
Blue-footed Booby,bfoboo
Peruvian Booby,perboo1
Brown Booby,brnboo
Red-footed Booby,refboo
Abbott's Booby,abbboo2
Northern Gannet,norgan
Cape Gannet,capgan1
Australasian Gannet,ausgan1
Little Pied Cormorant,lipcor1
Long-tailed Cormorant,lotcor1
Crowned Cormorant,crocor1
Little Cormorant,litcor1
Pygmy Cormorant,pygcor2
Red-legged Cormorant,relcor1
Brandt's Cormorant,bracor
Red-faced Cormorant,refcor
Pelagic Cormorant,pelcor
Pallas's Cormorant,palcor1
Great Cormorant,grecor
Japanese Cormorant,japcor1
Cape Cormorant,capcor1
Bank Cormorant,bancor1
Socotra Cormorant,soccor1
Indian Cormorant,indcor1
Spotted Shag,sposha1
Pitt Island Shag,piisha1
Little Black Cormorant,libcor1
Pied Cormorant,piecor1
Black-faced Cormorant,blfcor1
European Shag,eursha1
Flightless Cormorant,flicor1
Neotropic Cormorant,neocor
Double-crested Cormorant,doccor
Magellanic Cormorant,magcor1
Guanay Cormorant,guacor1
Bounty Islands Shag,boisha1
New Zealand King Shag,rofsha1
Stewart Island Shag,brosha1
Chatham Islands Shag,chisha1
Auckland Islands Shag,auisha1
Campbell Islands Shag,caisha2
South Georgia Shag,sogsha1
Imperial Cormorant,impcor1
Antarctic Shag,antsha1
Crozet Shag,crosha1
Kerguelen Shag,kersha1
Heard Island Shag,heisha1
Macquarie Shag,macsha1
Anhinga,anhing
African Darter,darter3
Oriental Darter,darter2
Australasian Darter,darter4
American White Pelican,amwpel
Brown Pelican,brnpel
Peruvian Pelican,perpel1
Great White Pelican,grwpel1
Australian Pelican,auspel1
Pink-backed Pelican,pibpel1
Spot-billed Pelican,spbpel1
Dalmatian Pelican,dalpel1
Shoebill,shoebi1
Hamerkop,hamerk1
Pinnated Bittern,pinbit1
American Bittern,amebit
Great Bittern,grebit1
Australasian Bittern,ausbit1
Zigzag Heron,zigher1
Yellow Bittern,yelbit
Little Bittern,litbit1
Black-backed Bittern,bkbbit1
New Zealand Bittern,nezbit1
Schrenck's Bittern,schbit1
Cinnamon Bittern,cinbit1
Dwarf Bittern,dwabit1
Black Bittern,blabit1
Least Bittern,leabit
Stripe-backed Bittern,stbbit1
Rufescent Tiger-Heron,ruther1
Fasciated Tiger-Heron,father1
Bare-throated Tiger-Heron,btther1
Forest Bittern,forbit1
White-crested Bittern,whcbit1
Great Blue Heron,grbher3
Gray Heron,graher1
Cocoi Heron,cocher1
Pacific Heron,pacher1
Black-headed Heron,blhher1
Humblot's Heron,humher1
White-bellied Heron,whbher2
Great-billed Heron,grbher2
Goliath Heron,golher1
Purple Heron,purher1
Great Egret,greegr
Intermediate Egret,integr
White-faced Heron,whfher1
Chinese Egret,chiegr
Little Egret,litegr
Western Reef-Heron,werher
Pacific Reef-Heron,pacreh1
Snowy Egret,snoegr
Little Blue Heron,libher
Tricolored Heron,triher
Reddish Egret,redegr
Pied Heron,pieher2
Slaty Egret,slaegr1
Black Heron,blaher1
Cattle Egret,categr
Squacco Heron,squher1
Indian Pond-Heron,inpher1
Chinese Pond-Heron,chpher1
Javan Pond-Heron,japher1
Madagascar Pond-Heron,mapher1
Rufous-bellied Heron,rubher2
Green Heron,grnher
Striated Heron,strher
Agami Heron,agaher1
Whistling Heron,whiher1
Capped Heron,capher1
Black-crowned Night-Heron,bcnher
Rufous Night-Heron,runher1
Yellow-crowned Night-Heron,ycnher
White-backed Night-Heron,wbnher1
White-eared Night-Heron,wenher1
Japanese Night-Heron,janher1
Malayan Night-Heron,manher1
Boat-billed Heron,bobher1
White Ibis,whiibi
Scarlet Ibis,scaibi
Glossy Ibis,gloibi
White-faced Ibis,whfibi
Puna Ibis,punibi1
Madagascar Ibis,madibi1
Sharp-tailed Ibis,shtibi1
Green Ibis,greibi1
Bare-faced Ibis,bafibi1
Plumbeous Ibis,pluibi1
Buff-necked Ibis,bunibi1
Black-faced Ibis,blfibi1
Sacred Ibis,sacibi1
Reunion Ibis,reusol1
Black-headed Ibis,blhibi1
Australian Ibis,ausibi1
Straw-necked Ibis,stnibi1
Red-naped Ibis,renibi1
White-shouldered Ibis,whsibi1
Giant Ibis,giaibi1
Northern Bald Ibis,waldra1
Southern Bald Ibis,balibi1
Crested Ibis,creibi1
Olive Ibis,oliibi2
Sao Tome Ibis,oliibi3
Spot-breasted Ibis,spbibi1
Hadada Ibis,hadibi1
Wattled Ibis,watibi1
Eurasian Spoonbill,eurspo1
Royal Spoonbill,royspo1
African Spoonbill,afrspo1
Black-faced Spoonbill,blfspo1
Yellow-billed Spoonbill,yebspo1
Roseate Spoonbill,rosspo1
Black Vulture,blkvul
Turkey Vulture,turvul
Lesser Yellow-headed Vulture,lyhvul1
Greater Yellow-headed Vulture,gyhvul1
California Condor,calcon
Andean Condor,andcon1
King Vulture,kinvul1
Secretarybird,secret2
Osprey,osprey
Pearl Kite,peakit1
Black-shouldered Kite,bkskit1
Australian Kite,auskit1
White-tailed Kite,whtkit
Letter-winged Kite,lewkit1
Scissor-tailed Kite,sctkit1
African Harrier-Hawk,afhhaw1
Madagascar Harrier-Hawk,mahhaw1
Palm-nut Vulture,panvul1
Madagascar Serpent-Eagle,maseag1
