COMMON_NAME
Pomarine jaeger
Providence petrel
Puaiohi
Red avadavat
Red phalarope
Red-billed leiothrix
Red-billed pigeon
Red-billed tropicbird
Red-crested cardinal
Red-faced cormorant
Red-flanked bluetail
Red-footed falcon
Red-legged honeycreeper
Red-legged kittiwake
Red-legged thrush
Red-necked phalarope
Red-necked stint
Red-tailed tropicbird
Red-throated pipit
Red-vented bulbul
Red-whiskered bulbul
Redwing
Ringed kingfisher
Roadside hawk
Rose-ringed parakeet
Rose-throated becard
Ruddy quail-dove
Ruff
Rufous-capped warbler
Rufous-tailed robin
Rustic bunting
Saffron finch
Salvins albatross
Scaly-breasted munia
Scaly-naped pigeon
Scarlet ibis
Scrippss murrelet
Sedge warbler
Sharp-tailed sandpiper
Short-tailed albatross
Short-tailed hawk
Short-tailed shearwater
Siberian accentor
Siberian blue robin
Sinaloa wren
Slaty-backed gull
Slender-billed curlew
Smew
Social flycatcher
Solitary snipe
Song thrush
Sooty tern
South polar skua
Southern martin
Spoon-billed sandpiper
Spotted dove
Spotted flycatcher
Spotted rail
Spotted redshank
Stejnegers petrel
Streak-backed oriole
Streaked shearwater
Sulphur-bellied flycatcher
Sungrebe
Swallow-tailed gull
Taiga flycatcher
Tamaulipas crow
Tawny-shouldered blackbird
Temmincks stint
Terek sandpiper
Thick-billed kingbird
Thick-billed parrot
Thick-billed vireo
Townsends shearwater
Tree pipit
Tropical parula
Variegated flycatcher
Violet-crowned hummingbird
Virginias warbler
Wandering albatross
Wedge-tailed shearwater
Western spindalis
Whiskered auklet
Whiskered tern
White wagtail
White-capped albatross
White-chinned petrel
White-collared seedeater
White-collared swift
White-crested elaenia
White-eared hummingbird
White-necked petrel
White-rumped shama
White-tailed eagle
White-tailed tropicbird
White-throated needletail
White-winged parakeet
White-winged tern
Willow warbler
Wood sandpiper
Wood warbler
Worthens sparrow
Xantuss hummingbird
Yellow bittern
Yellow-billed cardinal
Yellow-billed loon
Yellow-breasted bunting
Yellow-browed bunting
Yellow-browed warbler
Yellow-eyed junco
Yellow-faced grassquit
Yellow-footed gull
Yellow-fronted canary
Yellow-green vireo
Yellow-legged gull
Yellow-throated bunting
Yucatan vireo
Zebra dove
Zenaida dove
Zinos petrel
Common Pochard
Common Scoter
Egyptian Goose
Falcated Duck
Garganey
Hawaiian Duck
Helmeted Guineafowl
Labrador Duck
Laysan Duck
Lesser White-fronted Goose
Masked Duck
Pink-footed Goose
Spectacled Eider
Tufted Duck
White-cheeked Pintail
Whooper Swan
Buff-collared nightjar
California gnatcatcher
Christmas shearwater
Common crane
Common hill myna
Common myna
Common rosefinch
Eurasian siskin
Fork-tailed flycatcher
Greenish elaenia
Hawaiian coot
Hawaiian rail
Kermadec petrel
Lesser frigatebird
Long-billed murrelet
Marsh sandpiper
Mitred parakeet
Narcissus flycatcher
Northern jacana
Pine bunting
Pin-tailed snipe
Rosy-faced lovebird
Siberian rubythroat
Sooty shearwater
Stygian owl
Trindade petrel
White tern
White-throated thrush
Kauai oo
Oahu oo
Bishops oo
Hawaii oo
